bathrooms,bedrooms,condition,date,floors,grade,id,lat,long,price,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated,zipcode
1,3,3,20141013T000000,1,7,7129300520,47.5112,-122.257,221900,1180,0,1180,1340,5650,5650,0,0,1955,0,98178
2.25,3,3,20141209T000000,2,7,6414100192,47.721,-122.319,538000,2170,400,2570,1690,7242,7639,0,0,1951,1991,98125
1,2,3,20150225T000000,1,6,5631500400,47.7379,-122.233,180000,770,0,770,2720,10000,8062,0,0,1933,0,98028
3,4,5,20141209T000000,1,7,2487200875,47.5208,-122.393,604000,1050,910,1960,1360,5000,5000,0,0,1965,0,98136
2,3,3,20150218T000000,1,8,1954400510,47.6168,-122.045,510000,1680,0,1680,1800,8080,7503,0,0,1987,0,98074
4.5,4,3,20140512T000000,1,11,7237550310,47.6561,-122.005,1.225e+006,3890,1530,5420,4760,101930,101930,0,0,2001,0,98053
2.25,3,3,20140627T000000,2,7,1321400060,47.3097,-122.327,257500,1715,0,1715,2238,6819,6819,0,0,1995,0,98003
1.5,3,3,20150115T000000,1,7,2008000270,47.4095,-122.315,291850,1060,0,1060,1650,9711,9711,0,0,1963,0,98198
1,3,3,20150415T000000,1,7,2414600126,47.5123,-122.337,229500,1050,730,1780,1780,7470,8113,0,0,1960,0,98146
2.5,3,3,20150312T000000,2,7,3793500160,47.3684,-122.031,323000,1890,0,1890,2390,6560,7570,0,0,2003,0,98038
2.5,3,3,20150403T000000,1,8,1736800520,47.6007,-122.145,662500,1860,1700,3560,2210,9796,8925,0,0,1965,0,98007
1,2,4,20140527T000000,1,7,9212900260,47.69,-122.292,468000,860,300,1160,1330,6000,6000,0,0,1942,0,98115
1,3,4,20140528T000000,1.5,7,0114101516,47.7558,-122.229,310000,1430,0,1430,1780,19901,12697,0,0,1927,0,98028
1.75,3,4,20141007T000000,1,7,6054650070,47.6127,-122.045,400000,1370,0,1370,1370,9680,10208,0,0,1977,0,98074
2,5,3,20150312T000000,1.5,7,1175000570,47.67,-122.394,530000,1810,0,1810,1360,4850,4850,0,0,1900,0,98107
3,4,3,20150124T000000,2,9,9297300055,47.5714,-122.375,650000,1980,970,2950,2140,5000,4000,3,0,1979,0,98126
2,3,3,20140731T000000,2,7,1875500060,47.7277,-121.962,395000,1890,0,1890,1890,14040,14018,0,0,1994,0,98019
1,4,4,20140529T000000,1.5,7,6865200140,47.6648,-122.343,485000,1600,0,1600,1610,4300,4300,0,0,1916,0,98103
1,2,4,20141205T000000,1,7,0016000397,47.3089,-122.21,189000,1200,0,1200,1060,9850,5095,0,0,1921,0,98002
1,3,4,20150424T000000,1,7,7983200060,47.3343,-122.306,230000,1250,0,1250,1280,9774,8850,0,0,1969,0,98003
1.75,4,4,20140514T000000,1,7,6300500875,47.7025,-122.341,385000,860,760,1620,1400,4980,4980,0,0,1947,0,98133
2.75,3,3,20140826T000000,1,9,2524049179,47.5316,-122.233,2e+006,2330,720,3050,4110,44867,20336,4,0,1968,0,98040
